property_value_id,property_type_cd,property_id,property_value_desc,firm_id,active_flg,created_program_nm,created_user_nm,created_ts,modified_program_nm,modified_user_nm,modified_ts
2054,FS,42,TM1,1,t,,,2017-02-11 12:36:33.894438,SEED,UPGRADE,2017-02-11 12:36:33.894438
2401,FS,49,480199108,1,t,,,2017-02-11 12:36:33.894438,SEED,UPGRADE,2017-02-11 12:36:33.894438
4302,FS,86,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894438,SEED,UPGRADE,2017-02-11 12:36:33.894438
5501,FS,110,YES,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
254,FS,6,TY5,1,t,,,2017-02-11 12:36:33.893595,SEED,UPGRADE,2017-02-11 12:36:33.893595
1453,FS,30,MNTH_END,1,t,,,2017-02-11 12:36:33.893595,SEED,UPGRADE,2017-02-11 12:36:33.893595
2652,FS,54,NO,1,t,,,2017-02-11 12:36:33.893595,SEED,UPGRADE,2017-02-11 12:36:33.893595
3851,FS,77,NEW_ACCOUNTS,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893595,SEED,UPGRADE,2017-02-11 12:36:33.893595
5752,FS,115,OFF,1,t,SEED,UPGRADE,2018-09-05 04:18:20.336046,,,
1201,FS,25,00099A109,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
1302,FS,27,PRE_UPD_DT,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
